Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost (Millions),Unadjusted Cost (Millions),Deaths,,,,,,Filtering 40 billion +
Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,2006-04-16,"$3,780.6","$2,423.5",27,,,,,,3780.6
Northeast Flooding (June 2006),Flooding,2006-06-25,2006-06-28,"$2,358.5","$1,521.6",20,,,,,,2358.5
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,2006-08-24,"$1,168.9",$759.0,1,,,,,,1168.9
Central Severe Weather (October 2006),Severe Storm,2006-10-02,2006-10-05,"$1,371.3",$879.0,1,,,,,,1371.3
California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,"$2,170.0","$1,400.0",1,,,,,,2170
Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,"$3,168.6","$2,044.0",0,,,,,,3168.6
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,"$3,811.8","$2,507.8",9,,,,,,3811.8
Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,"$4,139.4","$2,741.3",12,,,,,,4139.4
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,"$5,484.6","$3,538.3",15,,,,,,5484.6
U.S. Drought (2008),Drought,2008-01-01,2008-12-31,"$10,444.7","$7,009.8",0,,,,,,10444.7
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,2008-01-09,"$1,463.3",$982.0,12,,,,,,1463.3
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,"$1,793.2","$1,211.6",57,,,,,,1793.2
Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,"$1,662.6","$1,131.0",5,,,,,,1662.6
Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,"$14,838.0","$9,958.4",24,,,,,,14838
Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,"$1,517.9","$1,039.6",2,,,,,,1517.9
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,"$4,392.8","$3,029.5",13,,,,,,4392.8
