Key,Name,Disaster,Date,Cost,Deaths
141,Midwest Flooding (Summer 2008),Flooding,2008-06-30,14838,24
142,Southern Severe Weather (April 2008),Severe Storm,2008-04-11,1517.9,2
143,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-27,4392.8,13
144,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-12,2355.7,18
145,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-25,1812.2,3
146,Hurricane Gustav (September 2008),Tropical Cyclone,2008-09-03,8575.7,53
147,U.S. Wildfires (Fall 2008),Wildfire,2008-11-30,1777,16
148,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-14,43198.4,112
149,Southwest/Great Plains Drought (2009),Drought,2009-12-31,5203.2,0
150,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-11,2575.4,10
151,Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-28,2427.9,0
152,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-10,2102.3,6
153,Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-09,1265.8,7
154,Western Wildfires (Summer-Fall 2009),Wildfire,2009-11-30,1477.4,10
155,"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-12,1939,0
156,Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,1460,0
157,Georgia Flooding (September 2009),Flooding,2009-09-22,1302.8,10
158,Northeast Winter Storm (February 2010),Winter Storm,2010-02-11,1184.8,3
159,Northeast Flooding (March 2010),Flooding,2010-03-31,2674,11
160,East/South Flooding and Severe Weather (May 2010),Flooding,2010-05-02,3286.2,32
161,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-12,4800.7,3
162,Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-15,1297.5,2
163,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-23,1365.6,0
164,Arizona Severe Weather (October 2010),Severe Storm,2010-10-06,5472,0
